image,DNL,D00,D10,D20,D40,strat,subset
3716,0,4,1,0,0,S1100,train
4848,0,2,0,0,0,S1000,train
1647,1,0,0,0,0,S0000,train
347,1,0,0,0,0,S0000,train
7259,1,0,0,0,0,S0000,train
15136,0,1,0,0,0,S1000,train
7416,0,1,0,0,0,S1000,train
4860,0,2,0,0,0,S1000,train
5889,1,0,0,0,0,S0000,train
11865,1,0,0,0,0,S0000,train
6110,0,1,0,0,0,S1000,train
11293,0,0,0,1,1,S0011,train
5469,0,1,1,0,0,S1100,train
8134,1,0,0,0,0,S0000,train
11828,1,0,0,0,0,S0000,train
7750,1,0,0,0,0,S0000,train
7590,1,0,0,0,0,S0000,train
5533,0,1,1,1,0,S1110,train
10382,1,0,0,0,0,S0000,train
2872,0,2,0,0,0,S1000,train
1730,1,0,0,0,0,S0000,train
11663,1,0,0,0,0,S0000,train
3316,0,0,0,1,0,S0010,train
2368,1,0,0,0,0,S0000,train
6289,1,0,0,0,0,S0000,train
9021,1,0,0,0,0,S0000,train
11037,1,0,0,0,0,S0000,train
6764,0,1,0,0,0,S1000,train
3199,1,0,0,0,0,S0000,train
7565,0,1,0,0,0,S1000,train
13987,1,0,0,0,0,S0000,train
6516,0,0,0,2,0,S0010,train
9417,1,0,0,0,0,S0000,train
12059,1,0,0,0,0,S0000,train
11595,1,0,0,0,0,S0000,train
14334,1,0,0,0,0,S0000,train
15727,0,2,0,0,0,S1000,train
10758,0,0,0,2,0,S0010,train
1828,1,0,0,0,0,S0000,train
3826,1,0,0,0,0,S0000,train
26542,1,0,0,0,0,S0000,train
700,1,0,0,0,0,S0000,train
10835,1,0,0,0,0,S0000,train
10966,1,0,0,0,0,S0000,train
3557,0,0,1,0,0,S0100,train
1525,0,1,0,0,0,S1000,train
753,0,0,0,0,2,S0001,train
10742,1,0,0,0,0,S0000,train
12503,1,0,0,0,0,S0000,train
10981,1,0,0,0,0,S0000,train
301,1,0,0,0,0,S0000,train
13712,1,0,0,0,0,S0000,train
11395,1,0,0,0,0,S0000,train
5756,0,0,0,0,2,S0001,train
14281,1,0,0,0,0,S0000,train
1170,0,0,0,1,0,S0010,train
26508,1,0,0,0,0,S0000,train
14681,0,1,0,0,0,S1000,train
11472,1,0,0,0,0,S0000,train
3479,0,2,1,0,0,S1100,train
5928,1,0,0,0,0,S0000,train
12180,1,0,0,0,0,S0000,train
70,0,0,2,0,2,S0101,train
7270,0,1,0,0,0,S1000,train
5212,1,0,0,0,0,S0000,train
9959,0,0,0,0,4,S0001,train
12145,0,0,0,0,1,S0001,train
6202,1,0,0,0,0,S0000,train
6695,0,1,1,0,0,S1100,train
9875,1,0,0,0,0,S0000,train
13106,0,1,1,0,0,S1100,train
546,1,0,0,0,0,S0000,train
11897,1,0,0,0,0,S0000,train
2771,1,0,0,0,0,S0000,train
10863,0,0,2,0,0,S0100,train
5152,1,0,0,0,0,S0000,train
12411,1,0,0,0,0,S0000,train
5388,1,0,0,0,0,S0000,train
9185,1,0,0,0,0,S0000,train
15493,0,1,1,0,0,S1100,train
11578,1,0,0,0,0,S0000,train
3023,1,0,0,0,0,S0000,train
15201,1,0,0,0,0,S0000,train
9804,1,0,0,0,0,S0000,train
833,0,1,0,0,7,S1001,train
5621,0,1,1,0,0,S1100,train
225,1,0,0,0,0,S0000,train
15115,0,1,0,0,0,S1000,train
4150,1,0,0,0,0,S0000,train
3313,0,1,2,0,0,S1100,train
4862,1,0,0,0,0,S0000,train
12625,1,0,0,0,0,S0000,train
1686,0,2,0,0,0,S1000,train
6613,0,0,0,0,4,S0001,train
6700,1,0,0,0,0,S0000,train
2487,0,0,0,1,0,S0010,train
15099,0,1,0,0,0,S1000,train
13258,1,0,0,0,0,S0000,train
7818,1,0,0,0,0,S0000,train
1762,1,0,0,0,0,S0000,train
12210,1,0,0,0,0,S0000,train
2378,1,0,0,0,0,S0000,train
2076,1,0,0,0,0,S0000,train
3890,0,0,0,0,1,S0001,train
2423,0,0,1,1,1,S0111,train
7094,1,0,0,0,0,S0000,train
14778,1,0,0,0,0,S0000,train
5178,1,0,0,0,0,S0000,train
14193,0,2,0,0,0,S1000,train
2066,0,0,0,0,1,S0001,train
15103,0,1,0,0,0,S1000,train
3754,1,0,0,0,0,S0000,train
8882,1,0,0,0,0,S0000,train
5556,0,1,1,1,0,S1110,train
937,0,1,3,0,0,S1100,train
2031,0,0,1,0,0,S0100,train
2949,0,0,1,0,0,S0100,train
7998,1,0,0,0,0,S0000,train
8798,1,0,0,0,0,S0000,train
10930,1,0,0,0,0,S0000,train
916,1,0,0,0,0,S0000,train
5167,0,1,0,0,0,S1000,train
9501,0,0,0,1,0,S0010,train
11065,1,0,0,0,0,S0000,train
10081,0,1,0,0,0,S1000,train
4739,0,1,1,0,0,S1100,train
26853,1,0,0,0,0,S0000,train
14638,1,0,0,0,0,S0000,train
766,0,0,0,0,1,S0001,train
6296,1,0,0,0,0,S0000,train
14822,1,0,0,0,0,S0000,train
15197,1,0,0,0,0,S0000,train
7316,0,1,0,0,0,S1000,train
7031,0,0,1,1,0,S0110,train
9639,1,0,0,0,0,S0000,train
1342,1,0,0,0,0,S0000,train
1892,1,0,0,0,0,S0000,train
5714,1,0,0,0,0,S0000,train
9476,0,0,1,0,0,S0100,train
1787,1,0,0,0,0,S0000,train
8778,1,0,0,0,0,S0000,train
11604,1,0,0,0,0,S0000,train
8281,1,0,0,0,0,S0000,train
3399,0,0,1,0,0,S0100,train
10573,0,0,1,0,0,S0100,train
14789,0,0,1,0,0,S0100,train
4755,0,0,1,0,0,S0100,train
3995,0,1,0,0,1,S1001,train
14410,1,0,0,0,0,S0000,train
14091,1,0,0,0,0,S0000,train
7219,1,0,0,0,0,S0000,train
11186,1,0,0,0,0,S0000,train
10709,1,0,0,0,0,S0000,train
220,1,0,0,0,0,S0000,train
12977,1,0,0,0,0,S0000,train
5697,1,0,0,0,0,S0000,train
10541,0,1,0,2,0,S1010,train
2397,0,0,0,0,2,S0001,train
850,0,1,1,0,0,S1100,train
825,0,1,0,0,0,S1000,train
765,1,0,0,0,0,S0000,train
8254,1,0,0,0,0,S0000,train
6688,1,0,0,0,0,S0000,train
13917,0,2,0,0,0,S1000,train
13566,1,0,0,0,0,S0000,train
15037,0,1,0,0,0,S1000,train
3994,1,0,0,0,0,S0000,train
2386,1,0,0,0,0,S0000,train
1436,0,0,1,0,0,S0100,train
7597,1,0,0,0,0,S0000,train
9322,0,1,0,0,0,S1000,train
11587,1,0,0,0,0,S0000,train
6760,0,0,1,0,0,S0100,train
14265,1,0,0,0,0,S0000,train
6649,0,0,1,0,1,S0101,train
4270,1,0,0,0,0,S0000,train
9514,0,1,1,0,0,S1100,train
6316,0,1,0,0,0,S1000,train
5022,1,0,0,0,0,S0000,train
9571,0,0,1,0,0,S0100,train
13485,0,0,2,0,0,S0100,train
274,1,0,0,0,0,S0000,train
9866,0,2,0,0,0,S1000,train
2074,0,0,0,0,1,S0001,train
14190,0,2,0,0,0,S1000,train
2851,0,0,0,0,1,S0001,train
12527,1,0,0,0,0,S0000,train
15474,0,2,2,0,0,S1100,train
10738,1,0,0,0,0,S0000,train
4279,0,2,3,0,1,S1101,train
15578,0,1,0,0,0,S1000,train
13340,1,0,0,0,0,S0000,train
11935,1,0,0,0,0,S0000,train
7647,1,0,0,0,0,S0000,train
26807,1,0,0,0,0,S0000,train
1288,1,0,0,0,0,S0000,train
14012,1,0,0,0,0,S0000,train
10688,1,0,0,0,0,S0000,train
9838,0,1,0,0,0,S1000,train
5503,0,1,1,1,0,S1110,train
761,0,6,0,0,1,S1001,train
7467,1,0,0,0,0,S0000,train
6416,1,0,0,0,0,S0000,train
10876,1,0,0,0,0,S0000,train
12058,1,0,0,0,0,S0000,train
15311,1,0,0,0,0,S0000,train
9713,1,0,0,0,0,S0000,train
14057,1,0,0,0,0,S0000,train
5082,1,0,0,0,0,S0000,train
11846,0,1,0,0,0,S1000,train
15045,0,1,0,0,0,S1000,train
973,0,1,1,0,0,S1100,train
5923,1,0,0,0,0,S0000,train
9238,0,0,2,0,0,S0100,train
2957,1,0,0,0,0,S0000,train
260,1,0,0,0,0,S0000,train
2399,0,1,0,0,0,S1000,train
4586,1,0,0,0,0,S0000,train
5279,1,0,0,0,0,S0000,train
13563,1,0,0,0,0,S0000,train
6671,1,0,0,0,0,S0000,train
12098,0,0,0,0,1,S0001,train
2530,0,0,0,1,0,S0010,train
8471,1,0,0,0,0,S0000,train
12075,0,0,0,0,2,S0001,train
12957,0,2,0,0,0,S1000,train
808,0,0,1,0,0,S0100,train
9237,0,0,1,0,0,S0100,train
26770,1,0,0,0,0,S0000,train
5637,1,0,0,0,0,S0000,train
5187,0,1,0,0,0,S1000,train
11940,1,0,0,0,0,S0000,train
1999,1,0,0,0,0,S0000,train
6118,1,0,0,0,0,S0000,train
6780,1,0,0,0,0,S0000,train
9594,1,0,0,0,0,S0000,train
15369,1,0,0,0,0,S0000,train
3213,1,0,0,0,0,S0000,train
3425,1,0,0,0,0,S0000,train
10483,1,0,0,0,0,S0000,train
12794,1,0,0,0,0,S0000,train
5336,1,0,0,0,0,S0000,train
7332,0,1,0,0,0,S1000,train
7060,1,0,0,0,0,S0000,train
5866,0,0,0,0,1,S0001,train
15486,0,0,1,0,0,S0100,train
3297,1,0,0,0,0,S0000,train
13421,1,0,0,0,0,S0000,train
11122,1,0,0,0,0,S0000,train
7472,1,0,0,0,0,S0000,train
8892,1,0,0,0,0,S0000,train
810,0,3,3,0,1,S1101,train
11707,0,0,1,0,0,S0100,train
