image,DNL,D00,D10,D20,D40,strat,subset
8315,1,0,0,0,0,S0000,train
4232,1,0,0,0,0,S0000,train
1231,0,0,1,1,0,S0110,train
9542,1,0,0,0,0,S0000,train
4969,1,0,0,0,0,S0000,train
2937,0,0,1,0,1,S0101,train
4042,1,0,0,0,0,S0000,train
7911,1,0,0,0,0,S0000,train
3291,0,0,1,0,0,S0100,train
7267,0,0,1,0,0,S0100,train
1933,1,0,0,0,0,S0000,train
9546,1,0,0,0,0,S0000,train
6717,1,0,0,0,0,S0000,train
7047,0,2,3,0,0,S1100,train
7693,1,0,0,0,0,S0000,train
2409,0,0,0,0,2,S0001,train
3066,0,1,0,0,0,S1000,train
5637,1,0,0,0,0,S0000,train
15342,0,1,0,0,0,S1000,train
7673,1,0,0,0,0,S0000,train
8991,1,0,0,0,0,S0000,train
6337,1,0,0,0,0,S0000,train
6317,0,1,0,0,0,S1000,train
1012,0,1,0,0,1,S1001,train
1923,1,0,0,0,0,S0000,train
3459,1,0,0,0,0,S0000,train
3570,0,0,1,0,0,S0100,train
400,0,2,0,0,0,S1000,train
4287,0,1,2,0,0,S1100,train
6238,1,0,0,0,0,S0000,train
4639,0,0,0,1,0,S0010,train
2885,1,0,0,0,0,S0000,train
5817,1,0,0,0,0,S0000,train
6727,1,0,0,0,0,S0000,train
4972,1,0,0,0,0,S0000,train
6905,1,0,0,0,0,S0000,train
14704,1,0,0,0,0,S0000,train
5970,0,0,1,0,0,S0100,train
1994,1,0,0,0,0,S0000,train
4702,1,0,0,0,0,S0000,train
9927,1,0,0,0,0,S0000,train
14898,0,1,2,0,0,S1100,train
1138,0,2,1,0,0,S1100,train
5231,0,0,1,0,0,S0100,train
14586,0,0,1,0,0,S0100,train
4322,0,0,1,0,0,S0100,train
9481,0,0,1,0,0,S0100,train
6869,0,1,0,0,0,S1000,train
15182,1,0,0,0,0,S0000,train
8390,1,0,0,0,0,S0000,train
3305,0,1,2,0,0,S1100,train
1167,0,0,2,0,0,S0100,train
1757,1,0,0,0,0,S0000,train
6419,0,1,0,0,0,S1000,train
5684,1,0,0,0,0,S0000,train
8026,0,1,0,1,0,S1010,train
8455,1,0,0,0,0,S0000,train
8821,1,0,0,0,0,S0000,train
9142,0,1,0,0,0,S1000,train
3299,0,0,1,0,1,S0101,train
144,0,0,2,0,5,S0101,train
863,0,4,0,0,0,S1000,train
6886,1,0,0,0,0,S0000,train
4159,0,0,1,0,1,S0101,train
2305,0,1,1,0,0,S1100,train
5698,1,0,0,0,0,S0000,train
3558,0,1,1,0,0,S1100,train
2294,0,2,0,0,1,S1001,train
5065,0,0,2,0,0,S0100,train
3372,1,0,0,0,0,S0000,train
6914,1,0,0,0,0,S0000,train
2718,0,0,1,0,0,S0100,train
4602,1,0,0,0,0,S0000,train
1320,0,0,0,0,2,S0001,train
6784,0,0,1,0,0,S0100,train
8400,1,0,0,0,0,S0000,train
5386,1,0,0,0,0,S0000,train
7157,0,1,0,0,2,S1001,train
8429,1,0,0,0,0,S0000,train
8453,1,0,0,0,0,S0000,train
6144,0,0,0,1,0,S0010,train
8970,1,0,0,0,0,S0000,train
8847,1,0,0,0,0,S0000,train
9411,0,0,1,0,0,S0100,train
15285,0,1,0,0,0,S1000,train
6584,0,0,0,0,4,S0001,train
2578,0,0,1,1,0,S0110,train
15152,0,1,0,0,0,S1000,train
2292,0,1,0,0,0,S1000,train
7562,0,1,0,0,0,S1000,train
4441,0,0,0,1,1,S0011,train
3444,1,0,0,0,0,S0000,train
15426,1,0,0,0,0,S0000,train
14937,1,0,0,0,0,S0000,train
2236,0,0,1,0,1,S0101,train
6936,0,0,0,1,0,S0010,train
7754,1,0,0,0,0,S0000,train
6308,0,1,0,0,0,S1000,train
8311,1,0,0,0,0,S0000,train
6069,0,1,0,0,0,S1000,train
14874,1,0,0,0,0,S0000,train
9207,0,2,1,0,0,S1100,train
8912,1,0,0,0,0,S0000,train
9102,1,0,0,0,0,S0000,train
8245,1,0,0,0,0,S0000,train
9729,1,0,0,0,0,S0000,train
14728,1,0,0,0,0,S0000,train
14748,0,1,0,0,0,S1000,train
1345,1,0,0,0,0,S0000,train
929,1,0,0,0,0,S0000,train
9004,1,0,0,0,0,S0000,train
7852,1,0,0,0,0,S0000,train
8710,1,0,0,0,0,S0000,train
2997,0,1,0,0,0,S1000,train
15059,0,1,0,0,0,S1000,train
4351,0,1,2,0,0,S1100,train
3180,0,0,2,0,0,S0100,train
6525,0,0,0,0,4,S0001,train
5415,0,1,0,0,0,S1000,train
9256,1,0,0,0,0,S0000,train
4609,1,0,0,0,0,S0000,train
2827,0,1,1,0,5,S1101,train
2622,0,0,0,1,0,S0010,train
3689,0,2,1,0,2,S1101,train
9496,1,0,0,0,0,S0000,train
7321,0,1,0,0,0,S1000,train
5427,0,0,1,0,0,S0100,train
5168,1,0,0,0,0,S0000,train
4832,0,0,0,0,1,S0001,train
5664,1,0,0,0,0,S0000,train
3442,1,0,0,0,0,S0000,train
5736,0,1,0,0,0,S1000,train
3776,1,0,0,0,0,S0000,train
3240,0,0,0,1,1,S0011,train
5651,1,0,0,0,0,S0000,train
1988,1,0,0,0,0,S0000,train
1166,0,1,0,0,0,S1000,train
2614,0,0,0,1,1,S0011,train
15201,1,0,0,0,0,S0000,train
8814,1,0,0,0,0,S0000,train
14678,0,0,1,0,0,S0100,train
6613,0,0,0,0,4,S0001,train
3996,0,3,2,0,0,S1100,train
5488,0,1,2,0,0,S1100,train
3205,0,0,1,0,0,S0100,train
7217,0,1,0,0,0,S1000,train
9145,0,1,0,0,0,S1000,train
5779,0,0,0,1,2,S0011,train
6853,0,0,2,0,0,S0100,train
1045,0,1,2,0,0,S1100,train
8150,1,0,0,0,0,S0000,train
9111,0,1,0,0,0,S1000,train
3078,0,1,1,0,0,S1100,train
128,1,0,0,0,0,S0000,train
6258,1,0,0,0,0,S0000,train
15260,0,1,0,0,0,S1000,train
6639,1,0,0,0,0,S0000,train
2929,0,0,1,0,0,S0100,train
1366,1,0,0,0,0,S0000,train
6716,1,0,0,0,0,S0000,train
5616,1,0,0,0,0,S0000,train
8909,1,0,0,0,0,S0000,train
6182,1,0,0,0,0,S0000,train
1474,0,2,0,0,0,S1000,train
3278,0,2,2,0,0,S1100,train
3939,0,0,1,0,0,S0100,train
2323,1,0,0,0,0,S0000,train
1715,1,0,0,0,0,S0000,train
9961,0,0,0,0,4,S0001,train
1501,1,0,0,0,0,S0000,train
8445,1,0,0,0,0,S0000,train
9140,0,1,0,0,0,S1000,train
7069,1,0,0,0,0,S0000,train
1813,1,0,0,0,0,S0000,train
14763,1,0,0,0,0,S0000,train
6753,0,1,0,0,0,S1000,train
15212,0,1,2,0,0,S1100,train
664,0,0,0,2,0,S0010,train
1705,0,1,0,0,0,S1000,train
8335,1,0,0,0,0,S0000,train
8081,1,0,0,0,0,S0000,train
7341,0,0,0,0,1,S0001,train
6643,0,0,0,0,2,S0001,train
15300,1,0,0,0,0,S0000,train
4849,1,0,0,0,0,S0000,train
1038,0,2,2,0,0,S1100,train
4254,0,1,1,0,1,S1101,train
5511,0,1,1,1,0,S1110,train
3339,0,2,2,0,0,S1100,train
3035,0,0,1,0,0,S0100,train
2282,1,0,0,0,0,S0000,train
4338,0,0,1,0,1,S0101,train
3745,1,0,0,0,0,S0000,train
3530,1,0,0,0,0,S0000,train
5420,0,0,2,0,0,S0100,train
994,0,0,0,0,1,S0001,train
8452,1,0,0,0,0,S0000,train
323,1,0,0,0,0,S0000,train
2483,0,1,1,0,0,S1100,train
544,1,0,0,0,0,S0000,train
3024,1,0,0,0,0,S0000,train
9724,1,0,0,0,0,S0000,train
5939,0,0,1,0,1,S0101,train
5313,1,0,0,0,0,S0000,train
7714,1,0,0,0,0,S0000,train
4376,0,1,0,0,0,S1000,train
1363,1,0,0,0,0,S0000,train
5579,1,0,0,0,0,S0000,train
8032,1,0,0,0,0,S0000,train
5462,1,0,0,0,0,S0000,train
7447,1,0,0,0,0,S0000,train
8379,1,0,0,0,0,S0000,train
2333,1,0,0,0,0,S0000,train
9753,0,1,0,3,0,S1010,train
5290,1,0,0,0,0,S0000,train
5334,1,0,0,0,0,S0000,train
3755,1,0,0,0,0,S0000,train
5356,1,0,0,0,0,S0000,train
1424,1,0,0,0,0,S0000,train
7158,0,0,2,1,1,S0111,train
7635,1,0,0,0,0,S0000,train
9225,0,1,0,0,0,S1000,train
14630,1,0,0,0,0,S0000,train
9825,1,0,0,0,0,S0000,train
167,0,2,5,0,6,S1101,train
4827,1,0,0,0,0,S0000,train
5114,0,0,2,0,0,S0100,train
1788,1,0,0,0,0,S0000,train
15119,0,1,0,0,0,S1000,train
8907,1,0,0,0,0,S0000,train
4578,1,0,0,0,0,S0000,train
498,0,0,0,0,1,S0001,train
3663,0,1,3,0,0,S1100,train
1818,1,0,0,0,0,S0000,train
5221,0,0,1,0,0,S0100,train
752,0,0,1,0,0,S0100,train
14852,1,0,0,0,0,S0000,train
2255,0,0,1,0,0,S0100,train
5892,1,0,0,0,0,S0000,train
1737,1,0,0,0,0,S0000,train
3385,1,0,0,0,0,S0000,train
4720,0,0,2,0,0,S0100,train
8923,0,2,1,0,2,S1101,train
5479,0,0,1,1,0,S0110,train
1171,0,1,0,3,1,S1011,train
7195,1,0,0,0,0,S0000,train
4615,0,0,1,0,3,S0101,train
5775,1,0,0,0,0,S0000,train
1422,1,0,0,0,0,S0000,train
3597,0,0,1,0,0,S0100,train
14958,1,0,0,0,0,S0000,train
2470,0,1,1,0,1,S1101,train
6612,0,0,0,1,0,S0010,train
14778,1,0,0,0,0,S0000,train
4088,0,0,0,2,1,S0011,train
6924,0,1,0,0,0,S1000,train
220,1,0,0,0,0,S0000,train
2437,0,1,2,0,1,S1101,train
9390,0,0,1,0,0,S0100,train
9975,1,0,0,0,0,S0000,train
3791,0,0,1,0,0,S0100,train
9230,1,0,0,0,0,S0000,train
9692,1,0,0,0,0,S0000,train
40,0,0,0,0,2,S0001,train
5956,0,0,1,0,0,S0100,train
6185,1,0,0,0,0,S0000,train
15366,1,0,0,0,0,S0000,train
914,0,1,1,0,0,S1100,train
5901,0,1,0,0,0,S1000,train
7061,1,0,0,0,0,S0000,train
14696,0,1,1,0,0,S1100,train
9123,0,2,0,0,0,S1000,train
3337,0,1,1,0,0,S1100,train
3646,0,1,1,0,0,S1100,train
6422,0,0,0,1,0,S0010,train
7573,1,0,0,0,0,S0000,train
8468,1,0,0,0,0,S0000,train
6824,1,0,0,0,0,S0000,train
959,0,0,2,0,0,S0100,train
4951,0,1,0,1,0,S1010,train
8695,1,0,0,0,0,S0000,train
8302,1,0,0,0,0,S0000,train
7551,1,0,0,0,0,S0000,train
3933,1,0,0,0,0,S0000,train
3198,1,0,0,0,0,S0000,train
6105,1,0,0,0,0,S0000,train
4149,0,1,0,0,0,S1000,train
7677,1,0,0,0,0,S0000,train
263,1,0,0,0,0,S0000,train
