image,DNL,D00,D10,D20,D40,strat,subset
14855,1,0,0,0,0,S0000,train
8891,1,0,0,0,0,S0000,train
706,0,1,0,0,1,S1001,train
6191,0,0,1,0,0,S0100,train
3963,0,0,1,0,0,S0100,train
7661,0,1,0,1,0,S1010,train
4225,0,1,1,0,0,S1100,train
31,1,0,0,0,0,S0000,train
7281,1,0,0,0,0,S0000,train
2885,1,0,0,0,0,S0000,train
8517,0,0,0,0,1,S0001,train
7372,1,0,0,0,0,S0000,train
15349,1,0,0,0,0,S0000,train
9287,0,0,0,1,0,S0010,train
609,1,0,0,0,0,S0000,train
2478,0,1,0,0,1,S1001,train
1076,0,3,4,0,1,S1101,train
5396,0,0,1,0,0,S0100,train
6333,1,0,0,0,0,S0000,train
5659,1,0,0,0,0,S0000,train
8429,1,0,0,0,0,S0000,train
8380,1,0,0,0,0,S0000,train
3543,0,1,0,0,0,S1000,train
5412,0,1,1,0,0,S1100,train
2645,0,1,0,0,0,S1000,train
6255,0,0,1,0,0,S0100,train
5493,0,1,2,0,0,S1100,train
4795,0,0,1,0,0,S0100,train
15042,0,1,0,0,0,S1000,train
4714,1,0,0,0,0,S0000,train
6402,0,0,2,0,0,S0100,train
9759,1,0,0,0,0,S0000,train
781,1,0,0,0,0,S0000,train
5079,1,0,0,0,0,S0000,train
3291,0,0,1,0,0,S0100,train
2028,1,0,0,0,0,S0000,train
8879,1,0,0,0,0,S0000,train
7820,1,0,0,0,0,S0000,train
2884,1,0,0,0,0,S0000,train
2225,1,0,0,0,0,S0000,train
14968,0,0,1,0,0,S0100,train
3251,0,0,6,1,0,S0110,train
8267,1,0,0,0,0,S0000,train
15384,1,0,0,0,0,S0000,train
1713,1,0,0,0,0,S0000,train
1115,1,0,0,0,0,S0000,train
8301,1,0,0,0,0,S0000,train
9501,0,0,0,1,0,S0010,train
4239,0,1,1,0,0,S1100,train
6793,0,1,0,0,0,S1000,train
7307,1,0,0,0,0,S0000,train
4199,0,1,0,2,0,S1010,train
2958,0,0,1,0,0,S0100,train
6481,0,0,0,0,1,S0001,train
1591,1,0,0,0,0,S0000,train
2137,0,1,2,0,0,S1100,train
3517,0,0,1,0,0,S0100,train
14583,0,0,1,0,0,S0100,train
1093,0,1,1,0,1,S1101,train
8999,1,0,0,0,0,S0000,train
3545,0,1,0,0,0,S1000,train
15490,1,0,0,0,0,S0000,train
14956,1,0,0,0,0,S0000,train
5985,0,0,0,1,3,S0011,train
3873,1,0,0,0,0,S0000,train
3937,1,0,0,0,0,S0000,train
9212,0,1,1,0,0,S1100,train
8320,1,0,0,0,0,S0000,train
2788,0,1,0,0,0,S1000,train
14918,0,0,1,0,0,S0100,train
6143,0,0,0,1,0,S0010,train
562,0,3,0,0,1,S1001,train
682,0,0,0,0,1,S0001,train
72,0,0,2,0,2,S0101,train
14949,0,0,1,0,0,S0100,train
8232,1,0,0,0,0,S0000,train
3103,1,0,0,0,0,S0000,train
8466,1,0,0,0,0,S0000,train
4727,1,0,0,0,0,S0000,train
9812,1,0,0,0,0,S0000,train
45,0,0,0,0,2,S0001,train
9244,0,1,0,0,0,S1000,train
3715,0,3,2,0,0,S1100,train
4900,0,1,0,1,0,S1010,train
9973,1,0,0,0,0,S0000,train
1689,0,1,0,0,0,S1000,train
6028,1,0,0,0,0,S0000,train
1141,0,0,1,0,0,S0100,train
6264,0,0,1,0,1,S0101,train
6494,1,0,0,0,0,S0000,train
7352,1,0,0,0,0,S0000,train
7377,1,0,0,0,0,S0000,train
15023,0,1,0,0,0,S1000,train
4401,0,2,0,0,0,S1000,train
1002,0,2,1,0,1,S1101,train
5871,1,0,0,0,0,S0000,train
8443,1,0,0,0,0,S0000,train
6015,1,0,0,0,0,S0000,train
7923,1,0,0,0,0,S0000,train
7925,1,0,0,0,0,S0000,train
578,0,1,1,0,0,S1100,train
1412,1,0,0,0,0,S0000,train
2706,1,0,0,0,0,S0000,train
821,0,0,3,0,0,S0100,train
14892,0,1,3,0,2,S1101,train
15355,0,1,1,0,0,S1100,train
4836,0,0,1,0,0,S0100,train
2412,0,1,0,2,0,S1010,train
9351,0,1,1,0,0,S1100,train
2148,1,0,0,0,0,S0000,train
3593,1,0,0,0,0,S0000,train
6802,0,1,0,0,0,S1000,train
3433,1,0,0,0,0,S0000,train
9303,1,0,0,0,0,S0000,train
6314,1,0,0,0,0,S0000,train
8115,1,0,0,0,0,S0000,train
5447,1,0,0,0,0,S0000,train
8110,1,0,0,0,0,S0000,train
6411,0,0,0,1,0,S0010,train
1177,0,0,1,0,0,S0100,train
8348,1,0,0,0,0,S0000,train
4450,1,0,0,0,0,S0000,train
7350,0,0,0,1,0,S0010,train
7620,1,0,0,0,0,S0000,train
7844,1,0,0,0,0,S0000,train
8774,1,0,0,0,0,S0000,train
15204,1,0,0,0,0,S0000,train
7517,1,0,0,0,0,S0000,train
2907,0,0,0,1,0,S0010,train
1399,1,0,0,0,0,S0000,train
46,0,0,0,0,1,S0001,train
4816,1,0,0,0,0,S0000,train
8823,1,0,0,0,0,S0000,train
5701,1,0,0,0,0,S0000,train
428,0,0,2,0,0,S0100,train
7335,1,0,0,0,0,S0000,train
8499,1,0,0,0,0,S0000,train
8671,0,0,0,1,0,S0010,train
1453,1,0,0,0,0,S0000,train
5604,1,0,0,0,0,S0000,train
1502,0,1,1,0,0,S1100,train
3143,0,2,2,0,2,S1101,train
14853,1,0,0,0,0,S0000,train
15146,0,1,0,0,0,S1000,train
3015,0,0,0,0,1,S0001,train
7321,0,1,0,0,0,S1000,train
855,1,0,0,0,0,S0000,train
2789,1,0,0,0,0,S0000,train
7556,0,1,0,0,0,S1000,train
4726,1,0,0,0,0,S0000,train
7462,0,0,1,0,0,S0100,train
5824,0,1,1,0,0,S1100,train
4711,1,0,0,0,0,S0000,train
2721,1,0,0,0,0,S0000,train
1865,1,0,0,0,0,S0000,train
5158,0,0,1,0,0,S0100,train
7943,1,0,0,0,0,S0000,train
14721,0,1,0,0,0,S1000,train
5694,1,0,0,0,0,S0000,train
6891,1,0,0,0,0,S0000,train
2248,1,0,0,0,0,S0000,train
1630,0,1,0,0,0,S1000,train
8678,1,0,0,0,0,S0000,train
8972,1,0,0,0,0,S0000,train
6641,1,0,0,0,0,S0000,train
7715,1,0,0,0,0,S0000,train
15180,1,0,0,0,0,S0000,train
2634,0,0,0,0,1,S0001,train
7640,1,0,0,0,0,S0000,train
9520,0,1,1,0,0,S1100,train
7268,1,0,0,0,0,S0000,train
974,0,0,1,0,0,S0100,train
9187,1,0,0,0,0,S0000,train
3290,0,1,2,0,0,S1100,train
14923,0,2,1,0,0,S1100,train
6871,0,0,0,1,0,S0010,train
1657,0,1,0,0,0,S1000,train
7442,1,0,0,0,0,S0000,train
1635,1,0,0,0,0,S0000,train
5409,0,0,1,0,0,S0100,train
8233,1,0,0,0,0,S0000,train
990,1,0,0,0,0,S0000,train
8997,0,1,0,0,0,S1000,train
4340,0,2,2,0,1,S1101,train
14940,1,0,0,0,0,S0000,train
9299,0,1,0,0,0,S1000,train
7740,1,0,0,0,0,S0000,train
3349,0,0,3,0,0,S0100,train
8988,1,0,0,0,0,S0000,train
5153,0,0,1,0,0,S0100,train
7287,0,0,1,0,0,S0100,train
3261,0,0,2,0,1,S0101,train
9655,1,0,0,0,0,S0000,train
6692,1,0,0,0,0,S0000,train
2263,1,0,0,0,0,S0000,train
6914,1,0,0,0,0,S0000,train
9841,0,1,0,0,0,S1000,train
5636,1,0,0,0,0,S0000,train
8074,1,0,0,0,0,S0000,train
1541,0,0,2,0,0,S0100,train
5131,0,0,1,0,0,S0100,train
14697,0,2,1,0,0,S1100,train
6615,0,0,0,1,3,S0011,train
5885,1,0,0,0,0,S0000,train
2063,1,0,0,0,0,S0000,train
2790,0,1,0,0,0,S1000,train
8741,1,0,0,0,0,S0000,train
1716,1,0,0,0,0,S0000,train
8401,1,0,0,0,0,S0000,train
3242,1,0,0,0,0,S0000,train
7539,0,1,0,0,0,S1000,train
8516,0,0,0,0,2,S0001,train
9149,1,0,0,0,0,S0000,train
4564,0,0,2,0,0,S0100,train
7976,1,0,0,0,0,S0000,train
3182,1,0,0,0,0,S0000,train
9517,0,0,1,0,0,S0100,train
4499,0,1,1,0,0,S1100,train
1215,0,0,2,0,2,S0101,train
5477,0,1,0,0,0,S1000,train
2525,0,1,1,0,0,S1100,train
3084,0,1,0,0,0,S1000,train
2086,1,0,0,0,0,S0000,train
4222,1,0,0,0,0,S0000,train
9970,1,0,0,0,0,S0000,train
6650,0,0,2,0,8,S0101,train
15480,0,1,0,0,0,S1000,train
2024,1,0,0,0,0,S0000,train
1959,1,0,0,0,0,S0000,train
1100,0,1,0,0,0,S1000,train
3398,0,0,1,0,0,S0100,train
6308,0,1,0,0,0,S1000,train
8352,1,0,0,0,0,S0000,train
6515,0,0,0,2,0,S0010,train
8065,1,0,0,0,0,S0000,train
4908,0,1,0,1,0,S1010,train
5578,1,0,0,0,0,S0000,train
6959,0,0,0,0,1,S0001,train
8733,1,0,0,0,0,S0000,train
5214,1,0,0,0,0,S0000,train
2040,1,0,0,0,0,S0000,train
569,0,2,5,1,0,S1110,train
1455,0,0,1,0,0,S0100,train
4284,0,0,1,0,0,S0100,train
7542,0,0,0,0,1,S0001,train
374,0,0,1,0,0,S0100,train
1671,0,0,0,0,1,S0001,train
15091,0,1,0,0,0,S1000,train
6180,0,0,0,0,1,S0001,train
7810,1,0,0,0,0,S0000,train
1781,1,0,0,0,0,S0000,train
4011,0,0,0,1,0,S0010,train
4933,0,1,0,1,0,S1010,train
6310,1,0,0,0,0,S0000,train
1983,1,0,0,0,0,S0000,train
1804,1,0,0,0,0,S0000,train
6782,1,0,0,0,0,S0000,train
8141,1,0,0,0,0,S0000,train
630,0,3,7,0,0,S1100,train
3070,0,0,1,0,0,S0100,train
2743,0,0,1,0,0,S0100,train
1123,0,1,0,0,0,S1000,train
380,0,0,0,0,1,S0001,train
426,1,0,0,0,0,S0000,train
