                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7753,                 5.2071,                 3.7591,                 0.0002,                0.24462,                0.00049,                0.00012,                 3.0504,                 7.2391,                 2.9812,              0.0004156,              0.0004156,              0.0004156
                      2,                 3.1459,                 4.0201,                 3.0443,                0.25256,                0.07875,                0.00125,                0.00041,                 2.4393,                 19.026,                 2.4613,             0.00074987,             0.00074987,             0.00074987
                      3,                 2.8269,                  3.611,                 2.8156,                0.25258,                0.04042,                 0.0015,                0.00048,                 2.4153,                 14.167,                 2.4831,              0.0010016,              0.0010016,              0.0010016
                      4,                  2.662,                 3.4128,                 2.6699,                0.25604,                0.02446,                0.00375,                 0.0012,                 2.2114,                   23.1,                 2.2486,             0.00087875,             0.00087875,             0.00087875
                      5,                  2.525,                 3.2185,                 2.5503,                0.01154,                0.13256,                  0.006,                0.00221,                 2.1743,                 23.558,                 2.2279,               0.000755,               0.000755,               0.000755
                      6,                 2.4314,                 3.0728,                 2.4717,                0.00554,                0.09214,                0.00534,                0.00198,                 2.1549,                  25.49,                 2.1195,             0.00063125,             0.00063125,             0.00063125
                      7,                 2.3354,                 2.9444,                 2.3953,                0.02164,                0.06966,                0.00884,                0.00345,                 2.1846,                 15.083,                 2.1578,              0.0005075,              0.0005075,              0.0005075
                      8,                 2.2692,                 2.8386,                 2.3308,                0.02866,                 0.1053,                0.01355,                0.00565,                 2.0411,                 15.842,                 2.0147,             0.00038375,             0.00038375,             0.00038375
                      9,                 2.2093,                  2.753,                 2.2726,                0.02795,                0.09842,                0.01446,                0.00568,                 1.9272,                 18.755,                 1.9479,                0.00026,                0.00026,                0.00026
                     10,                 2.1254,                 2.6606,                 2.2226,                0.02403,                0.12742,                0.01524,                0.00665,                 1.8802,                  21.76,                  1.902,             0.00013625,             0.00013625,             0.00013625
